"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EPC1",0,-1.34112515676474,0.381,0.622,0
"LCP1",0,1.12099545138971,0.736,0.495,0
"KIAA0930",0,4.42779736656138,0.254,0.013,0
"MYADM",0,1.14108192685916,0.54,0.3,0
"PTCH2",0,3.53477103289422,0.276,0.036,0
"TMC8",0,-1.95916754442684,0.163,0.403,0
"PSTPIP2",0,3.34785052305398,0.267,0.027,0
"NPM1",0,-1.44261074695594,0.683,0.923,0
"PICALM",0,2.65605816655692,0.284,0.044,0
"CASP4",0,1.1424692270724,0.506,0.266,0
"RGS19",0,1.12634124894704,0.486,0.246,0
"ACTR2",0,0.970778819395948,0.555,0.316,0
"EIF4B",0,-1.24911194051165,0.446,0.685,0
"FLNA",0,0.862424552178878,0.633,0.394,0
"GPCPD1",0,1.54840020775818,0.367,0.128,0
"RTN4",0,1.0446673445512,0.524,0.286,0
"COX8A",0,1.26899749502596,0.822,0.584,0
"SNX2",0,1.31293820532293,0.403,0.166,0
"GATA3",0,-3.82891827466094,0.034,0.271,0
"OXNAD1",0,-2.91312874789864,0.061,0.298,0
"ACAP2",0,1.0200157765761,0.506,0.269,0
"HNRNPA0",0,-1.29936264891825,0.406,0.643,0
"CD74",0,3.15628265171152,0.978,0.741,0
"SELL",0,-1.37393835398784,0.473,0.709,0
"PRKCH",0,-3.09359982035373,0.052,0.288,0
"PER1",0,1.75923551097805,0.349,0.113,0
"HEXB",0,1.69410004293402,0.341,0.106,0
"BCL11B",0,-3.20195846356803,0.045,0.28,0
"RIN3",0,1.3206458895527,0.389,0.154,0
"GAA",0,3.21749193127477,0.265,0.03,0
"ADGRE5",0,1.12416182861089,0.502,0.267,0
"WDR83OS",0,1.06392910036356,0.688,0.454,0
"ISG15",0,1.40275720403883,0.467,0.234,0
"RAB10",0,1.45310693831701,0.378,0.145,0
"CTSC",0,1.0547429508314,0.469,0.236,0
"NBPF14",0,2.64487796799831,0.274,0.042,0
"ICAM1",0,4.06701072498194,0.251,0.019,0
"TNFRSF1A",0,2.09465847001699,0.301,0.069,0
"MYO9B",0,2.04707548506758,0.31,0.078,0
"CYFIP2",0,-2.47830289970514,0.091,0.322,0
"STAT2",0,1.86831029556149,0.315,0.084,0
"RBL2",0,-1.7980844395483,0.189,0.42,0
"BHLHE40",0,1.70173590959086,0.335,0.105,0
"PLAC8",0,1.2057987124909,0.543,0.313,0
"C7orf73",0,1.02625232489777,0.542,0.312,0
"MAP2K3",0,1.81401463338141,0.333,0.103,0
"DPYSL2",0,3.51650400545532,0.254,0.024,0
"ANAPC11",0,0.955750536443036,0.555,0.326,0
"GNS",0,3.10272863965913,0.263,0.034,0
"NDUFS6",0,1.06791315915112,0.503,0.274,0
"SARAF",0,-1.68611638199424,0.738,0.967,0
"OPTN",0,-2.47526528268374,0.082,0.311,0
"SYNE2",0,-2.92781775935203,0.062,0.291,0
"LAMTOR4",0,1.1083308127026,0.805,0.577,0
"CNN2",0,-1.20903973108101,0.451,0.679,0
"SFT2D1",0,1.37114049140445,0.385,0.157,0
"STX7",0,2.20297158395581,0.285,0.057,0
"VMA21",0,1.5204322736112,0.362,0.134,0
"SYNGR2",0,1.02896320323747,0.577,0.349,0
"SPTLC2",0,2.29529367904808,0.28,0.053,0
"COX7B",0,1.07375637119853,0.705,0.478,0
"MYC",0,-2.87216466899836,0.056,0.283,0
"MID1IP1",0,2.37057874223273,0.291,0.065,0
"SQRDL",0,1.52253529508915,0.353,0.127,0
"SBDS",0,-1.56380143794423,0.223,0.448,0
"FERMT3",0,1.0544244019077,0.452,0.227,0
"PTPN18",0,2.18164815293633,0.289,0.064,0
"POLR2L",0,1.09342901148494,0.739,0.514,0
"SYTL1",0,-1.81355016904702,0.165,0.389,0
"PPIF",0,2.57062470695668,0.275,0.052,0
"FAM45A",0,1.53530310318775,0.342,0.119,0
"ATP1B3",0,1.83571880647933,0.323,0.1,0
"TMBIM4",0,1.14075284177637,0.446,0.223,0
"MTHFD2",0,1.71895103007375,0.327,0.105,0
"TRBC1",0,-2.69569699802722,0.057,0.279,0
"POLE4",0,1.13486528797418,0.454,0.232,0
"PTTG1IP",0,1.83317882354446,0.311,0.089,0
"ANXA1",0,0.924207084904494,0.78,0.558,0
"HSPA8",0,-1.08202503978187,0.673,0.895,0
"MRPL52",0,0.993255808730801,0.513,0.292,0
"ZNF106",0,1.51593185143394,0.337,0.116,0
"EIF4E2",0,1.19801209981535,0.381,0.16,0
"UBE2R2",0,2.71411197792242,0.261,0.04,0
"TRMT1",0,1.26139504891165,0.409,0.188,0
"SHFM1",0,0.886226708102152,0.631,0.411,0
"RORA",0,-3.25142617177111,0.046,0.266,0
"SPG21",0,1.16960928778928,0.435,0.215,0
"LAMTOR5",0,1.03885199044509,0.469,0.249,0
"DUSP23",0,1.62511650664388,0.328,0.109,0
"RNPEP",0,2.21005289496134,0.276,0.057,0
"BACH1",0,2.42104655178933,0.267,0.048,0
"C15orf39",0,2.69669819275928,0.259,0.04,0
"TNFAIP8",0,-1.60527497973882,0.203,0.422,0
"ATP5J2",0,1.1162263168786,0.755,0.536,0
"OAS1",0,1.62645859769962,0.3,0.081,0
"STAT1",0,0.641426594023968,0.553,0.335,0
"OGFR",0,1.26866619538907,0.369,0.151,0
"C20orf27",0,1.44430381102548,0.352,0.134,0
"SAMHD1",0,0.957368731621631,0.703,0.485,0
"ARPC4",0,1.28390732186548,0.399,0.182,0
"RARA",0,1.57559536801174,0.331,0.114,0
"PRCP",0,1.94289697957644,0.29,0.073,0
"PGAM1",0,1.01803047322235,0.589,0.372,0
"FAM120A",0,1.6927011584228,0.303,0.087,0
"NBPF26",0,1.87223466767005,0.294,0.078,0
"ZNHIT1",0,0.973184534739058,0.474,0.258,0
"METTL9",0,1.14189873130967,0.484,0.268,0
"TMEM256-PLSCR3",0,-2.05960906959651,0.143,0.358,0
"ATP5I",0,1.05499207121945,0.762,0.547,0
"GNB1",0,1.44270981111709,0.338,0.124,0
"SSR3",0,1.04694576198158,0.452,0.238,0
"COX5A",0,0.951578598587308,0.668,0.454,0
"CH17-373J23.1",0,3.20412148514532,0.254,0.04,0
"PPP4C",0,0.909501898867604,0.499,0.286,0
"IFI16",0,0.972863624735593,0.419,0.206,0
"REL",0,1.03625689485392,0.44,0.227,0
"SERPINB6",0,1.74718901665299,0.298,0.085,0
"GNB2",0,0.889756217506543,0.603,0.39,0
"ROMO1",0,0.87337224368378,0.607,0.394,0
"GIMAP7",0,-1.2171414170772,0.347,0.559,0
"ANKRD13D",0,1.77183326109451,0.306,0.094,0
"DEK",0,0.874588939991385,0.547,0.336,0
"CARS2",0,2.44066450811149,0.256,0.045,0
"GNAQ",0,1.95708688917907,0.279,0.07,0
"PLIN3",0,1.99361905959286,0.275,0.066,0
"ZFP36L1",0,1.10765941595615,0.694,0.485,0
"SELM",0,-2.0272062172671,0.073,0.282,0
"BRK1",0,0.932898999620967,0.653,0.445,0
"COX17",0,1.0178645501152,0.491,0.283,0
"NDFIP1",0,-1.23877904555005,0.415,0.623,0
"CCND3",0,-1.04526048097447,0.411,0.619,0
"ATP6V0E2",0,-2.85574707426186,0.06,0.268,0
"CKLF",0,1.13474780374994,0.448,0.24,0
"RASSF2",0,2.43803937030802,0.255,0.047,0
"SLC44A2",0,-1.99595236524372,0.113,0.321,0
"S100A4",0,1.84303844765786,0.947,0.739,0
"GYG1",0,1.88839887018135,0.288,0.08,0
"SVIP",0,-2.28663628405814,0.076,0.284,0
"EIF4A2",0,-1.02714003938575,0.456,0.663,0
"CHMP1B",0,1.32528839387566,0.415,0.208,0
"PLD3",0,1.30490396346157,0.361,0.154,0
"KDELR1",0,0.957559841698092,0.479,0.272,0
"CAPZA1",0,0.95016801881083,0.446,0.24,0
"NRGN",0,1.85784752567647,0.274,0.068,0
"XAF1",0,0.865532021002632,0.426,0.22,0
"SET",0,0.952253138033002,0.473,0.267,0
"DDX21",0,0.869506688602431,0.507,0.302,0
"FAM107B",0,-1.53718361500866,0.162,0.367,0
"CHMP2A",0,1.00539358211872,0.434,0.229,0
"G6PD",0,1.73451970302585,0.29,0.085,0
"GCC2",0,-1.64908666682517,0.192,0.395,0
"TSEN34",0,2.02154225710466,0.266,0.063,0
"LRRFIP1",0,0.832770716455831,0.675,0.473,0
"PPP1CB",0,1.64185993701338,0.323,0.121,0
"HSD17B11",0,0.984387285562879,0.53,0.328,0
"MATR3.1",0,-1.99112806043869,0.131,0.333,0
"DNAJC15",0,0.897376114969152,0.451,0.249,0
"MYO1G",0,0.88551506820897,0.431,0.229,0
"RNF13",0,1.25184235596038,0.337,0.136,0
"MSN",0,0.747467431858085,0.566,0.365,0
"SLIRP",0,1.02212050906754,0.436,0.237,0
"JOSD2",0,1.43352951492158,0.321,0.122,0
"PTRHD1",0,1.04286240737246,0.392,0.194,0
"NMI",0,1.35976025771321,0.32,0.122,0
"IFI35",0,1.2638406898514,0.331,0.133,0
"NDUFA2",0,0.816371588039328,0.561,0.364,0
"PPP3CC",0,-2.10018074154769,0.115,0.312,0
"STAT6",0,1.02791937105767,0.372,0.175,0
"ANXA6",0,-1.50951435736639,0.215,0.412,0
"GNG10",0,1.23735278534683,0.352,0.155,0
"MIS18BP1",0,1.44742714786834,0.297,0.1,0
"NDUFB3",0,0.982406969267628,0.436,0.24,0
"SFXN1",0,-2.8017507733467,0.056,0.252,0
"SH3GLB1",0,1.09552373341459,0.365,0.169,0
"TMEM243",0,-1.51929665700979,0.208,0.403,0
"PPP1R2",0,-1.22840358585283,0.303,0.498,0
"VPS29",0,0.806538530051742,0.481,0.286,0
"CALCOCO2",0,1.03415455996522,0.377,0.182,0
"SERINC5",0,-2.15290339370725,0.099,0.294,0
"CALM2",0,1.03758463281428,0.739,0.544,0
"PSMB10",0,0.997109762952365,0.676,0.482,0
"TMEM179B",0,0.975796025464138,0.4,0.206,0
"AKIRIN2",0,1.15985949662316,0.367,0.173,0
"STK17A",0,-1.92462771396685,0.114,0.308,0
"COA3",0,1.32276460721036,0.316,0.122,0
"SH3BGRL",0,0.966660365524695,0.659,0.466,0
"VAMP3",0,1.94907603966148,0.256,0.064,0
"GBP5",0,1.02844303445331,0.368,0.176,0
"RBPJ",0,1.34849020440084,0.314,0.122,0
"CD151",0,1.79676788532345,0.265,0.073,0
"FUOM",0,1.84740415090186,0.266,0.074,0
"NDUFB5",0,0.926313866552231,0.424,0.232,0
"RNF149",0,0.808954822531944,0.505,0.314,0
"CBR1",0,1.7752701940742,0.26,0.069,0
"MAN2B1",0,1.02416292091448,0.357,0.166,0
"IL10RB",0,1.57826764333623,0.28,0.09,0
"EPB41",0,-1.9187871872837,0.138,0.328,0
"PLEKHB2",0,1.7102259001931,0.274,0.084,0
"SEC14L1",0,1.44688648301433,0.292,0.102,0
"ATF7IP2",0,-2.10800839909591,0.092,0.282,0
"CUX1",0,1.53821989155822,0.276,0.087,0
"ARF6",0,1.23940332553064,0.334,0.145,0
"RP11-386I14.4",0,2.52052425195796,0.252,0.063,0
"CDC42SE2",0,-1.32425358611397,0.236,0.425,0
"LINC-PINT",0,-1.96257910169193,0.123,0.312,0
"LAMP2",0,1.84106277433986,0.259,0.07,0
"WSB1",0,0.813248749953347,0.522,0.333,0
"TACC1",0,1.4329032023451,0.284,0.095,0
"PSMB2",0,0.915216304910971,0.399,0.211,0
"TCEB2",0,1.25182039979359,0.875,0.688,0
"SHKBP1",0,0.861000796640308,0.406,0.219,0
"KIF2A",0,-1.530344559515,0.172,0.359,0
"IMPDH1",0,1.25050730866801,0.304,0.117,0
"DNAJA1",0,0.861757398742101,0.484,0.297,0
"RHOF",0,-1.80833382532052,0.129,0.316,0
"CAP1",0,0.742570115833025,0.627,0.441,0
"BANF1",0,0.834815735243901,0.457,0.271,0
"BAX",0,0.698302538676993,0.472,0.286,0
"HNRNPDL",0,-0.871460789686033,0.665,0.851,0
"CTNNB1",0,1.6361709376385,0.29,0.105,0
"EVI2A",0,1.81343708998037,0.26,0.075,0
"RCC1",0,-1.72620165730972,0.163,0.348,0
"SRSF7",0,-0.953053599541334,0.511,0.696,0
"GDI2",0,0.865954451744292,0.585,0.4,0
"ATP6V0E1",0,0.967199912732174,0.76,0.576,0
"LSM10",0,1.10408593998681,0.342,0.158,0
"CNIH4",0,1.42968652291416,0.303,0.119,0
"UQCRC1",0,0.830012807364734,0.441,0.257,0
"IRF1",0,0.869407201185888,0.662,0.479,0
"NCKAP1L",0,0.933783999816808,0.332,0.149,0
"C1orf43",0,0.78640406786096,0.444,0.261,0
"ARID5B",0,-2.33548314861464,0.085,0.268,0
"RB1",0,1.36443578036156,0.296,0.113,0
"APOL6",0,0.991279775986727,0.327,0.145,0
"EIF4A1",0,0.8069184583933,0.43,0.248,0
"SQSTM1",0,0.774471021545427,0.577,0.395,0
"SEC61G",0,0.860641912234467,0.711,0.529,0
"ITGB7",0,-1.81367480459992,0.147,0.328,0
"DOK2",0,0.727430629435741,0.438,0.257,0
"PLEC",0,0.985182131399147,0.355,0.174,0
"ATP6V0C",0,1.24524456129584,0.691,0.51,0
"CD53",0,0.649693156780531,0.591,0.411,0
"UBE2J1",0,0.946455791695399,0.353,0.173,0
"PABPN1",0,1.19238281750893,0.311,0.131,0
"RAB5C",0,0.816901608722123,0.474,0.294,0
"FAM49B",0,0.737264587897545,0.498,0.319,0
"ADPGK",0,1.17455280921353,0.308,0.13,0
"PRKAR1A",0,0.850891993549445,0.408,0.23,0
"ARHGEF1",0,-1.04701163591194,0.405,0.583,0
"GABARAP",0,2.3014122684143,0.92,0.743,0
"SMS",0,1.22178408825509,0.317,0.14,0
"WAS",0,0.754851096223838,0.593,0.416,0
"TMEM123",0,-1.01677655112138,0.42,0.597,0
"PLCB2",0,1.62417398622328,0.25,0.073,0
"CHCHD5",0,0.995576578834864,0.357,0.181,0
"FAM65B",0,-1.02442984577524,0.427,0.603,0
"RPS6KA4",0,1.53298917458044,0.252,0.076,0
"DHRS4",0,1.1832145920054,0.302,0.126,0
"SNRPG",0,0.759086533031363,0.571,0.395,0
"COPE",0,0.688884349127073,0.565,0.389,0
"USP15",0,0.616700952895286,0.527,0.352,0
"ODF2L",0,-2.27694272873955,0.079,0.254,0
"CDC42EP3",0,1.39877437904174,0.293,0.118,0
"PRDX1",0,0.830408329231853,0.573,0.398,0
"RAC2",0,-0.858900826967713,0.647,0.822,0
"NDUFB7",0,0.739294300213884,0.525,0.351,0
"COMMD9",0,1.31512087621261,0.27,0.096,0
"IFI44",0,1.59876656487723,0.258,0.084,0
"SIGIRR",0,-1.12956722168256,0.312,0.486,0
"CNDP2",0,1.21430789616661,0.298,0.124,0
"EIF3E",0,-0.826026551340115,0.611,0.784,0
"AGTPBP1",0,1.31902101413927,0.277,0.104,0
"ANKRD12",0,-1.13024907967064,0.349,0.522,0
"CLTC",0,1.4636670118611,0.267,0.094,0
"TNFAIP3",0,-0.879409526198622,0.455,0.628,0
"HM13",0,0.701526754001991,0.429,0.256,0
"SRSF8",0,-1.9603856387014,0.107,0.279,0
"DPYD",0,0.745171002416628,0.38,0.208,0
"TCEB1",0,0.842605641955524,0.427,0.255,0
"PRDX5",0,0.740245079854354,0.548,0.377,0
"PSME2",0,1.39452358817269,0.78,0.609,0
"AAK1",0,-1.24450397693623,0.234,0.405,0
"TMC6",0,-1.51480175637344,0.165,0.336,0
"ATF4",0,0.817074711964094,0.402,0.231,0
"SATB1",0,-1.7519255016956,0.131,0.302,0
"ABHD14B",0,-1.50934452469444,0.184,0.355,0
"IL16",0,-1.60102095919428,0.174,0.345,0
"TMEM256",0,0.72777393819864,0.488,0.317,0
"RNF213",0,0.619724492282715,0.607,0.436,0
"EML4",0,-1.39067106780333,0.206,0.376,0
"PHPT1",0,1.06483434068206,0.335,0.165,0
"ARF3",0,1.22770482673293,0.283,0.113,0
"SEPT9",0,-0.935419414014859,0.455,0.625,0
"ST13",0,-0.900028693159324,0.443,0.613,0
"NDUFV3",0,1.29911272351803,0.277,0.108,0
"CARD19",0,1.42673341153152,0.262,0.093,0
"MAP3K11",0,1.46811528299107,0.257,0.088,0
"ATM",0,-1.44202825569036,0.23,0.399,0
"MKNK2",0,1.37606196507976,0.266,0.097,0
"HNRNPD",0,0.928143540107361,0.345,0.176,0
"WHSC1L1",0,-1.2582740363929,0.248,0.417,0
"ENO1",0,0.804817154394122,0.702,0.533,0
"LEPROT",0,1.37536960026258,0.264,0.096,0
"TM9SF2",0,0.90808299737719,0.325,0.157,0
"MAPKAPK3",0,1.14436990750435,0.285,0.117,0
"RNF7",0,0.683163261100447,0.507,0.339,0
"DBNL",0,0.683749339466039,0.428,0.26,0
"P2RY8",0,-1.7696274978372,0.138,0.306,0
"FUS",0,-0.87822817948623,0.488,0.655,0
"EIF6",0,0.969872401595808,0.338,0.171,0
"DDT",0,0.905059420022393,0.394,0.227,0
"G3BP2",0,-1.24863003048199,0.242,0.409,0
"CCDC109B",0,-0.873024239525428,0.458,0.625,0
"PSMB6",0,0.745051059527783,0.49,0.323,0
"NDUFA11",0,1.15001368628509,0.36,0.193,0
"LAIR1",0,1.54068349988274,0.25,0.083,0
"SF3B5",0,0.725542441592915,0.549,0.383,0
"OS9",0,0.750182325610683,0.381,0.215,0
"CANX",0,0.718207885607816,0.424,0.258,0
"NAPA",0,0.738370137201266,0.479,0.313,0
"ARPC1B",0,1.34324474376947,0.86,0.695,0
"IL6ST",0,-1.54294039759784,0.157,0.322,0
"USP3",0,0.734484745899758,0.374,0.209,0
"FAM200B",0,1.01031218269478,0.352,0.187,0
"NDUFAB1",0,0.698927773343009,0.469,0.304,0
"RNASEK",0,1.31062259095296,0.779,0.615,0
"STK4",0,-1.0659545502795,0.374,0.538,0
"MOB3A",0,1.28539932489999,0.271,0.108,0
"LRRFIP2",0,1.39280773083964,0.253,0.09,0
"WASF2",0,0.599814682111734,0.484,0.321,0
"RAB7A",0,0.672155612242916,0.481,0.318,0
"MED10",0,-1.16139336122807,0.26,0.423,0
"RAB1A",0,1.22409061928583,0.28,0.118,0
"HSP90AB1",0,-0.725061021822326,0.604,0.766,0
"LINC00152",0,0.663536874630661,0.299,0.137,0
"DDX6",0,-1.40764023243057,0.191,0.353,0
"S100A10",0,1.81632836490777,0.941,0.779,0
"ARL8B",0,1.34122171794719,0.263,0.102,0
"ARF5",0,0.802494478112768,0.637,0.476,0
"CMTM7",0,0.687322627646293,0.372,0.211,0
"SPCS3",0,0.729115167408854,0.382,0.221,0
"VDAC1",0,0.820714517268085,0.387,0.226,0
"KIAA1033",0,1.29515638852026,0.255,0.094,0
"AURKAIP1",0,0.64908432208633,0.496,0.335,0
"DOCK2",0,0.977150403428042,0.295,0.134,0
"CSNK2B",0,0.640948929330848,0.614,0.453,0
"PRMT2",0,-1.13624967731942,0.296,0.456,0
"WDR74",0,1.14545040846563,0.331,0.171,0
"LYSMD2",0,1.10668977788749,0.286,0.126,0
"ZFP36L2",0,-1.1537312819656,0.771,0.93,0
"MYEOV2",0,0.644475195314718,0.539,0.38,0
"CSK",0,0.666308117551515,0.432,0.273,0
"UBE2A",0,1.1870993242098,0.265,0.107,0
"EEF2",0,-1.01253037602301,0.778,0.936,0
"TOM1",0,1.17107056248453,0.281,0.123,0
"TIMM13",0,0.858584906734844,0.361,0.203,0
"CLTB",0,0.864922944855718,0.333,0.176,0
"PTK2B",0,1.23880499458864,0.267,0.11,0
"BLOC1S6",0,1.19655310038495,0.272,0.115,0
"RNF125",0,-1.74965588133494,0.122,0.279,0
"VTI1B",0,0.923004807228809,0.32,0.163,0
"ATP5F1",0,0.650544085014049,0.576,0.419,0
"MTDH",0,0.561940016747101,0.588,0.431,0
"CYC1",0,0.743561481133232,0.357,0.2,0
"TGOLN2",0,0.559906441552372,0.396,0.24,0
"PFDN2",0,0.77968961127806,0.377,0.221,0
"PARP9",0,1.18196030292942,0.251,0.095,0
"FKBP2",0,0.872187975899833,0.318,0.162,0
"PAK2",0,0.557608408107706,0.492,0.336,0
"NDUFS7",0,0.616857442594567,0.489,0.333,0
"PKM",0,0.809895579936027,0.739,0.584,0
"SCNM1",0,0.839894662816168,0.315,0.16,0
"CAT",0,0.976756510545442,0.287,0.132,0
"PSENEN",0,1.02632176619265,0.285,0.13,0
"NOP58",0,-1.43965987684751,0.181,0.335,0
"TIMM17B",0,0.826018223932584,0.328,0.174,0
"SFT2D2",0,1.06623902552708,0.252,0.098,0
"DNAJC4",0,0.730154131419982,0.374,0.22,0
"SUN2",0,-1.29900771565876,0.219,0.373,0
"CCNL1",0,0.733958339141673,0.659,0.506,0
"NDUFB2",0,0.732177724297489,0.682,0.529,0
"DDX24",0,-1.0626247106161,0.309,0.462,0
"CAMTA1",0,0.903736869473625,0.324,0.171,0
"ZCCHC11",0,-1.88988611446161,0.097,0.25,0
"ATP6AP1",0,0.976186606779342,0.312,0.159,0
"MIEN1",0,0.725444470336781,0.385,0.232,0
"UPP1",0,0.708390539712804,0.407,0.254,0
"EEF1B2",0,-1.64942969754845,0.81,0.963,0
"HNRNPU",0,0.623332336338925,0.562,0.41,0
"SSR2",0,-0.790579442276055,0.58,0.732,0
"FLII",0,0.983277647251783,0.281,0.129,0
"RASAL3",0,-1.72236858654605,0.117,0.269,0
"RNASEH2C",0,0.887016801543658,0.322,0.17,0
"EPN1",0,0.946423044075475,0.292,0.14,0
"UBR4",0,1.0421217366502,0.267,0.116,0
"UBE2D2",0,-0.745637671607909,0.535,0.686,0
"IDH3G",0,0.738970932546645,0.341,0.19,0
"AKAP13",0,0.495759581195312,0.46,0.309,0
"C6orf62",0,1.07547399572033,0.286,0.135,0
"BTG1",0,-0.895344657381079,0.79,0.941,0
"FLOT1",0,0.806727642825085,0.337,0.187,0
"ILK",0,1.02031451378624,0.28,0.13,0
"PSMA6",0,0.683632625478023,0.463,0.313,0
"TCF25",0,0.507018997622155,0.528,0.378,0
"NAAA",0,0.735679148281224,0.358,0.208,0
"DECR1",0,0.700679225066136,0.374,0.224,0
"VPS35",0,0.901201918566397,0.287,0.137,0
"MIIP",0,1.00845145353478,0.271,0.122,0
"CDV3",0,1.20161133317149,0.253,0.104,0
"ATP6AP2",0,0.663643285944653,0.449,0.3,0
"UXT",0,-0.780166711352719,0.506,0.655,0
"FAM21C",0,1.14256667484689,0.251,0.102,0
"USMG5",0,0.773436621670872,0.737,0.588,0
"SRRM2",0,0.479401044722646,0.461,0.312,0
"ETHE1",0,0.824825593544268,0.325,0.176,0
"PIM3",0,0.748519173842155,0.372,0.223,0
"PET100",0,0.569014706552741,0.595,0.446,0
"EIF3F",0,-0.623026927713375,0.664,0.813,0
"HNRNPA1",0,-0.935711108818678,0.79,0.939,0
"SRSF10",0,-0.898096467106866,0.387,0.535,0
"MRPL33",0,0.698390775189007,0.442,0.294,0
"SMIM7",0,0.802316579348695,0.322,0.174,0
"GNAI3",0,1.00054445107128,0.291,0.143,0
"MINOS1",0,0.606036625917777,0.61,0.462,0
"PPP1R18",0,0.531300686893007,0.449,0.302,0
"PNISR",0,-0.777677741670959,0.497,0.644,0
"SLC25A5",0,0.837226641300326,0.71,0.563,0
"ACTN4",0,1.04204779478348,0.257,0.11,0
"HMOX2",0,-1.57523037824539,0.142,0.289,0
"NDUFA13",0,0.570564722416044,0.587,0.44,0
"RPSA",0,-1.771648383741,0.834,0.98,0
"VAPA",0,0.571489582871691,0.505,0.359,0
"PQLC3",0,0.7787196026415,0.304,0.158,0
"SRSF9",0,0.928387921232241,0.298,0.152,0
"UNC119",0,0.886290146467218,0.285,0.139,0
"HMGN3",0,0.497037529104973,0.527,0.382,0
"ANAPC16",0,-0.71845673415308,0.486,0.631,0
"SNAP23",0,0.761027097351857,0.322,0.177,0
"UQCR10",0,0.716548623682613,0.757,0.612,0
"YIF1B",0,0.938191291602478,0.266,0.122,0
"HCFC1R1",0,0.999978939159801,0.294,0.15,0
"EIF3A",0,0.468856874036735,0.418,0.274,0
"LSM6",0,0.748421602316531,0.378,0.235,0
"XRN2",0,0.595549088022936,0.384,0.241,0
"MT-ATP8",0,-0.892070038169559,0.848,0.991,0
"RELB",0,0.652424618332721,0.377,0.234,0
"OAZ1",0,1.74532802877407,0.952,0.809,0
"GBP4",0,0.974783994059686,0.261,0.119,0
"ARID1A",0,0.927391859148936,0.261,0.12,0
"TWF2",0,0.566506433891844,0.403,0.262,0
"NPTN",0,0.859699879132208,0.278,0.137,0
"PSMG2",0,0.595579972560519,0.395,0.254,0
"CHCHD10",0,0.631063162367633,0.524,0.383,0
"EIF3L",0,-0.616804493058047,0.564,0.705,0
"PSMB4",0,0.609147993103369,0.35,0.209,0
"ANP32A",0,0.566008768236537,0.455,0.315,0
"PDE4B",0,0.889422155491082,0.283,0.143,0
"HADHB",0,0.771222807071505,0.3,0.16,0
"CELF1",0,0.778896398748683,0.295,0.155,0
"MX2",0,0.982772854870254,0.291,0.151,0
"PSMA7",0,0.694252923027611,0.692,0.552,0
"PSTPIP1",0,0.803143783472232,0.312,0.173,0
"GADD45B",0,0.687899228579095,0.667,0.528,0
"RAB8A",0,0.716889035019536,0.315,0.176,0
"TMEM147",0,0.787975093187308,0.325,0.186,0
"NCL",0,-0.757917441951424,0.472,0.61,0
"TMEM258",0,0.601402619735059,0.708,0.57,0
"SNRPD2",0,-0.69197529456693,0.711,0.849,0
"MTMR14",0,0.793228129616951,0.285,0.147,0
"ERICH1",0,0.690994896782093,0.331,0.194,0
"MAP1LC3B",0,0.61080845333873,0.52,0.383,0
"MRPS36",0,0.685286073681346,0.321,0.185,0
"RPS20",0,-0.418933760495259,0.735,0.871,0
"MRPL41",0,0.511536643147034,0.446,0.31,0
"CALM1",0,-0.765612093206033,0.778,0.914,0
"NDUFB10",0,0.523706987503349,0.526,0.39,0
"POLR2E",0,0.568677544759124,0.397,0.261,0
"ERP44",0,0.709839889662688,0.302,0.166,0
"ATP2B1",0,0.694844914594588,0.286,0.15,0
"BAG1",0,0.637708918593323,0.323,0.188,0
"BNIP2",0,0.610206269278387,0.381,0.246,0
"MYDGF",0,0.528361705859511,0.39,0.255,0
"COX6B1",0,0.960078725174751,0.878,0.743,0
"ATP5C1",0,0.542966526990209,0.568,0.433,0
"SFPQ",0,0.538911461325252,0.376,0.242,0
"COPA",0,0.82634740163426,0.264,0.13,0
"NFKBIA",0,1.00907530487402,0.831,0.697,0
"ANP32B",0,-0.657532114795471,0.554,0.688,0
"LASP1",0,0.917190859421477,0.257,0.124,0
"CBWD2",0,0.897492398255549,0.253,0.121,0
"ZNF706",0,0.484201744339274,0.477,0.345,0
"OSTF1",0,0.497756638575871,0.454,0.322,0
"JMJD1C",0,0.53585892010937,0.375,0.243,0
"ACADVL",0,0.547690871998594,0.361,0.229,0
"DNAJC7",0,0.718930740432744,0.299,0.167,0
"IGFLR1",0,0.655654022160479,0.293,0.161,0
"TMEM165",0,0.726368336177295,0.272,0.141,0
"CUTA",0,-0.697075714945924,0.491,0.622,0
"GTF2I",0,0.773654201582415,0.264,0.133,0
"DDX3X",0,0.489499107600051,0.482,0.351,0
"LIMD2",0,-0.50653817547297,0.734,0.865,0
"WAC",0,0.777990723453425,0.287,0.156,0
"MBNL1",0,-0.736191264085092,0.579,0.709,0
"GSTK1",0,-0.683043954971876,0.7,0.83,0
"HOOK3",0,0.878383243947804,0.253,0.123,0
"NDUFA6",0,0.527464956819326,0.451,0.321,0
"IFI44L",0,0.766563999906869,0.27,0.141,0
"SDHB",0,0.686157701407847,0.311,0.182,0
"RIOK3",0,0.615089797279504,0.304,0.175,0
"LYPLA1",0,0.718918612664087,0.295,0.166,0
"TMED5",0,0.790213836096087,0.256,0.128,0
"PSMA5",0,0.453156016368094,0.404,0.276,0
"HINT1",0,-0.813855078030532,0.787,0.915,0
"SLC38A2",0,0.774052107723825,0.321,0.193,0
